#{"t_start": 1756231885.3092296, "env_id": "None"}
r,l,t
3879.425629,288,0.948124
5070.559242,288,1.884977
5907.731071,288,2.889039
6501.051422,288,3.684365
8090.675644,288,4.510904
5312.140808,204,5.035649
4597.417931,288,5.934154
8576.615067,288,6.821772
12716.252495,288,7.590108
13599.018669,288,8.378271
11473.073776,288,9.180268
14955.463142,288,9.947441
10908.632912,288,10.65518
10193.782043,288,11.45543
14073.213173,288,12.210987
12066.958008,288,13.046333
17338.855621,288,13.845645
15913.649139,288,14.693859
15324.322815,288,15.491338
14376.658897,288,16.29189
15398.286171,288,17.142193
16464.69696,288,17.940937
18129.824905,288,18.755596
14891.054993,288,19.604929
13279.028748,288,20.423955
13470.0,288,21.222702
19405.0,288,22.066807
15924.127312,288,22.897669
13445.472527,288,23.737045
5015.787201,288,24.600206
17038.019791,288,25.501277
16547.150497,288,26.340221
14282.487488,288,27.182384
15682.729874,288,28.11378
15700.0,288,28.941754
16061.460876,288,29.75089
17690.0,288,30.561312
11625.0,288,31.347334
14985.0,288,32.185961
17535.0,288,32.984358
13661.709251,288,33.863336
15210.0,288,34.691027
16955.0,288,35.526252
16585.0,288,36.410724
12405.0,288,37.199498
15123.184845,288,38.141768
18030.0,288,38.938279
8930.0,288,39.846089
15000.0,288,40.703588
16065.0,288,41.626391
16300.0,288,42.462411
8190.0,225,43.135135
13574.728317,288,43.940773
12245.0,288,44.706987
16080.0,288,45.551757
17215.0,288,46.291215
10070.0,288,47.121229
14690.0,288,47.89342
9470.0,288,48.688882
17705.0,288,49.511649
13370.0,288,50.350224
17600.0,288,51.140491
17815.0,288,51.956341
17775.0,288,52.799979
12670.0,288,53.577957
15655.0,288,54.392561
15530.0,288,55.239547
10575.0,288,56.090391
15605.0,288,56.909014
17995.0,288,57.776091
17875.0,288,58.584545
13825.0,288,59.426781
13475.0,288,60.218763
17045.0,288,61.064518
17900.0,288,61.866809
16465.0,288,62.682607
17940.0,288,63.478709
14910.0,288,64.26887
17975.0,288,65.061887
14400.0,288,65.865839
17600.0,288,66.683956
13970.0,288,67.469023
16930.0,288,68.330749
14090.0,288,69.129495
17100.0,288,69.964929
15715.0,288,70.750958
15995.0,288,71.561421
16865.0,288,72.400084
17575.0,288,73.181762
16410.0,288,73.95854
17690.0,288,74.800629
15665.0,288,75.583592
18710.0,288,76.424901
18050.0,288,77.158982
17955.0,288,77.92551
16140.0,288,78.773168
16965.0,288,79.532389
12995.0,288,80.324905
