#{"t_start": 1756654049.4811306, "env_id": "None"}
r,l,t
9578.786568,288,0.517516
10760.617844,288,0.980785
10828.568497,288,1.467213
10370.295494,288,3.047687
12558.357094,288,3.541387
10500.158718,288,4.026473
9207.813423,288,4.485491
9985.20525,288,6.065299
11592.024467,288,6.525097
12417.620102,288,6.990017
12309.015556,288,8.572744
12130.403385,288,9.053046
9465.232399,288,9.524302
11983.777435,288,9.990238
11695.16581,288,11.553931
12160.184303,288,12.023465
12642.78804,288,12.500392
11065.665138,288,14.09902
9492.821716,288,14.588301
8649.473854,288,15.042685
12536.133904,288,15.500449
11877.397583,288,17.065616
10394.523087,288,17.538594
12494.508881,288,18.000481
8817.282326,288,19.603863
14468.145668,288,20.065081
14671.608658,288,20.515702
12525.539886,288,20.990372
9975.510605,288,22.542651
11174.888603,288,23.009076
11300.125328,288,23.482358
10520.619522,288,23.964757
10170.098122,288,25.53344
10870.466972,288,26.007412
10325.439339,288,26.469634
10569.41304,288,28.039099
13720.598175,288,28.497083
10661.503479,288,28.982051
12331.509239,288,29.456775
9370.057194,288,31.151753
10880.280914,288,31.7261
12071.262886,288,32.274099
10322.375221,288,33.998668
13949.996719,288,34.524604
12400.180527,288,35.057496
11522.119392,288,35.557842
14011.343384,288,37.259271
12001.554581,288,37.738482
10533.027252,288,38.264364
12125.508438,288,40.099248
12191.34687,288,40.610004
10595.184052,288,41.080935
12219.931923,288,41.554986
14686.035049,288,43.225454
13753.188156,288,43.731569
11905.11298,288,44.238082
11947.270515,288,45.994044
11762.513588,288,46.477483
11660.550453,288,46.955059
13056.490112,288,47.457684
12654.081963,288,49.280944
12960.756523,288,49.797632
11678.123329,288,50.275297
14105.153473,288,50.764802
13521.575348,288,52.482841
14440.635406,288,52.980864
14392.985153,288,53.454653
12254.754875,288,55.244205
13397.041542,288,55.721955
13243.502518,288,56.205792
10473.913574,288,56.728817
13687.992668,288,58.479068
16334.828857,288,59.015905
13959.961548,288,59.512628
16029.675713,288,61.247166
12511.513237,288,61.760604
11858.906403,288,62.221215
11994.37545,288,62.676423
12510.953003,288,64.384027
15234.979263,288,64.890277
13272.769897,288,65.402567
12801.63192,288,67.144157
12488.112358,288,67.64595
14455.340118,288,68.103633
15565.397896,288,68.570323
13721.402092,288,70.277039
16397.617836,288,70.791768
12157.899292,288,71.296279
14188.168938,288,72.939555
14022.910385,288,73.391479
14154.570534,288,73.844912
14174.76223,288,74.32508
15563.280388,288,75.943569
13001.363998,288,76.401608
13394.342995,288,76.854747
14064.881195,288,77.310917
15005.677231,288,78.869675
15058.77224,288,79.341443
14208.215195,288,79.824538
16379.711849,288,81.401999
15701.6353,288,81.854072
15733.821144,288,82.312811
12874.752434,288,82.785345
12569.000732,288,84.325245
14663.116966,288,84.796163
16519.526123,288,85.263772
14461.351135,288,86.81899
12199.415466,288,87.281342
15925.259537,288,87.749566
17171.498055,288,88.204788
14953.305603,288,89.798519
14929.742325,288,90.283077
15193.615761,288,90.758015
13303.898567,288,92.312629
17123.714607,288,92.785913
15340.229618,288,93.243222
15391.837921,288,93.699497
16147.895195,288,95.292394
14734.947155,288,95.765805
13194.909027,288,96.230355
13908.632626,288,98.249527
14802.049019,288,98.875595
12758.247017,288,99.547922
15400.636055,288,100.229674
14103.631561,288,102.180391
14470.795238,288,102.811023
13944.383598,288,103.509637
16294.514923,288,104.106899
14097.237305,288,106.014139
13254.039337,288,106.518552
15522.688988,288,107.057359
15072.329544,288,108.696066
16735.325386,288,109.227357
14699.147881,288,109.737897
13477.037518,288,110.219498
16776.458519,288,112.077694
13235.693512,288,112.608378
17678.148499,288,113.134291
14681.874859,288,114.968891
14718.404686,288,115.510542
15099.122906,288,116.054041
13852.833427,288,116.609123
14037.533981,288,118.445428
14272.077477,288,118.969939
14188.398872,288,119.503661
17726.061363,288,121.406189
13872.929497,288,121.963664
14027.288353,288,122.458002
13894.034256,288,122.980837
12228.03051,288,124.836817
15746.728981,288,125.329025
15522.509178,288,125.842322
15319.316483,288,127.5872
13464.234184,288,128.114566
15091.812698,288,129.02313
15882.143532,288,129.697752
14647.544975,288,132.515092
13769.384796,288,133.201481
15610.755348,288,133.825764
14193.601593,288,134.432188
14066.068108,288,136.873539
16941.237984,288,137.508019
14239.427231,288,138.089789
12202.465866,288,140.404288
16664.55864,288,141.060631
15230.283241,288,141.667353
15426.631554,288,142.316846
14148.897263,288,144.588341
14057.537094,288,145.150385
15674.705925,288,145.797727
15434.55027,288,148.186204
14636.290947,288,148.808909
11802.585999,288,149.387334
12998.930191,288,149.99544
15370.745415,288,152.318137
14079.485847,288,152.902535
13609.329788,288,153.498641
16450.50872,288,155.70075
13324.302055,288,156.30396
14354.38372,288,156.912097
12243.796494,245,157.413429
14313.820396,288,159.848227
14332.666656,288,160.411897
15590.721287,288,160.987775
15362.624947,288,161.611858
15473.637909,288,163.794556
11733.429245,288,164.358872
16108.548672,288,164.941301
15280.471741,288,167.190828
15184.649849,288,167.742994
14718.850494,288,168.301817
14237.488731,288,168.889824
15706.913643,288,171.144234
14532.410027,288,171.762304
12815.719185,288,172.343504
15107.805367,288,174.72162
16714.916115,288,175.296378
13571.050442,288,175.869121
14201.253418,288,176.487284
14569.193184,288,178.717026
14719.822289,288,179.308927
16242.373795,288,179.871283
15529.718666,288,182.008932
15858.551674,288,182.657803
16110.311058,288,183.303267
17720.876274,288,184.006875
14464.254234,288,186.429634
14927.611046,288,187.064088
14516.14798,288,187.679701
16054.376961,288,190.001637
12733.272469,288,190.588236
17684.071129,288,191.196714
12998.003479,288,191.820809
15071.342018,288,194.130614
15166.323147,288,194.710261
15177.691559,288,195.305589
12971.147545,288,195.929143
12790.631821,230,198.124479
15545.674225,288,198.675764
16097.095924,288,199.267481
