#{"t_start": 1756228911.0526738, "env_id": "None"}
r,l,t
957.957565,288,0.567291
7578.290535,288,1.165864
1645.614353,288,1.769537
4550.765903,288,2.415138
-250.671127,288,2.970915
3480.078438,288,3.528847
2446.05957,288,4.2428
4852.309883,258,6.905116
3701.903839,288,7.826522
5309.913292,288,8.953772
5481.121475,288,10.060799
782.904182,288,10.982294
6500.272133,288,11.547299
228.16655,288,12.107341
5849.965515,288,14.990198
3536.283806,288,15.762154
8816.189041,288,16.525071
4009.63092,288,17.54389
2475.022141,288,18.582611
7646.182003,288,19.389758
5420.004227,288,20.49713
6314.206512,288,23.264544
4874.903229,288,23.76021
7579.335243,288,24.730223
5898.113441,288,25.793159
6005.831894,288,26.951201
5350.657768,288,27.531389
5795.293304,288,28.139737
5427.402084,288,29.885733
922.780304,288,30.454067
8666.340782,288,31.044767
7248.848518,288,31.606552
5839.773628,288,32.125561
7546.299667,288,32.690921
5751.806023,288,33.218615
8726.557846,288,35.037504
1837.515617,288,35.594326
7313.425545,288,36.182343
7500.71283,288,36.715139
7234.439568,288,37.250473
6377.16082,288,37.776247
9063.278313,288,38.246041
8501.871033,288,40.0177
5648.066956,288,40.510118
4826.599365,288,41.035795
830.43203,132,41.2939
6810.513107,288,41.787013
8746.035828,288,42.718369
4424.315498,288,43.758127
3542.322853,288,44.463328
4689.979042,271,48.124189
8186.072426,288,48.632323
7286.328056,288,49.137516
9631.683762,288,49.682639
8592.880066,288,50.209308
5861.929955,288,50.793913
129.885773,63,50.92374
4754.063698,288,51.532933
7963.444809,288,53.459034
10068.400803,288,54.124929
8706.387863,288,54.794454
7128.871735,288,55.349583
6746.513916,288,55.973516
10198.849678,288,56.63544
8168.823631,288,57.269184
5244.318336,288,59.078252
6263.441467,288,59.634262
9475.769913,288,60.313946
8510.395592,288,60.958745
5039.288399,288,61.476405
7605.925018,288,62.048853
6418.417915,288,62.547853
10555.14534,288,64.879586
7286.304649,288,65.423911
9295.926727,288,66.032321
10079.912697,288,66.530546
6437.952263,288,67.006406
3709.40863,288,67.52174
9510.333397,288,68.004384
4073.030975,288,69.749388
8778.193184,288,70.41391
11216.980858,288,70.945758
6527.105736,288,71.478189
6929.918449,288,71.926087
5736.142128,288,72.42233
8335.386696,288,72.973494
7623.451263,288,74.854362
9360.520378,288,75.434291
6712.641243,288,75.941752
7478.132607,288,76.634575
8917.654594,288,77.152203
7195.008522,288,77.597396
8026.661324,288,78.097053
9174.923553,288,79.841493
10290.512291,288,80.403939
10855.716202,288,80.923306
7897.173882,288,81.469789
6482.088249,288,82.126953
7217.578087,288,82.778321
12531.5849,288,83.324629
7550.164383,288,83.937516
11432.209137,288,85.764916
5483.73172,288,86.469416
7602.485229,288,86.968202
6988.449135,288,87.477845
7733.867958,288,88.000435
4790.056641,288,88.53143
9215.836037,288,89.07115
7515.450439,288,90.97909
2575.165878,118,91.195506
11084.828041,288,91.718691
9598.391529,288,92.184147
8646.023994,288,92.755511
6090.997826,288,93.259016
5891.184998,288,93.799737
9210.924278,288,95.613209
9457.488365,288,96.168966
8374.621788,288,96.685784
11024.776154,288,97.23002
9637.988392,288,97.755937
6009.928596,288,98.288355
7644.862015,288,98.777352
9226.055172,288,100.585686
9732.321007,288,101.097407
10621.717094,288,101.633743
8854.972313,288,102.109381
10137.305656,288,102.626474
10920.906727,288,103.110443
1253.141235,288,103.613037
8373.228081,288,104.105225
11134.378273,288,105.929184
7091.026657,288,106.424704
9119.631783,288,106.99236
8280.094322,288,107.529731
9211.580276,288,108.074053
10336.012428,288,108.635152
7453.351334,288,109.144223
3524.013329,288,110.867462
7020.508034,288,111.420365
7406.488953,288,111.993877
357.821098,37,112.061265
6450.636597,288,112.535261
6838.834343,288,113.034767
2981.479324,109,113.235209
8116.22757,288,113.839029
7472.311661,288,115.748466
7662.747704,288,116.27727
10452.618652,288,116.789397
6610.786987,288,117.336676
10493.401176,288,117.923256
9836.450043,288,118.481111
7593.978493,288,119.009687
8391.62915,288,120.917313
9579.003555,288,121.472805
11621.479187,288,121.997934
11348.413757,288,122.546504
12468.176971,288,123.211528
12456.22123,288,123.792523
6342.552753,188,124.133341
7762.848106,288,124.711455
7626.907852,288,126.505417
7938.724518,288,127.041042
8505.830902,288,127.513462
7688.560501,288,128.023276
10409.61499,288,128.538962
8913.371033,288,129.075496
12030.693665,288,129.596493
10620.714081,288,131.33403
9867.878654,288,131.871084
9730.001099,288,132.47581
9720.883499,288,133.039907
8174.010178,288,133.598222
8529.858398,288,134.094299
10645.129051,288,134.586372
10488.37104,288,136.356919
10736.907509,288,136.865864
11259.669716,232,137.281814
10463.083908,288,137.807568
11556.529343,288,138.302878
6319.281387,288,139.017211
8776.052101,288,139.518708
12767.816547,288,141.18001
11605.726379,288,141.768135
6661.967216,288,142.426249
9065.4161,288,142.949142
10905.141533,288,143.579252
11385.01918,288,144.099935
9769.516579,288,144.62403
11402.986824,288,145.108947
13011.009094,288,146.79752
10813.993683,288,147.424798
9086.551022,288,148.008412
9311.879837,288,148.562603
9321.336861,288,149.11596
8251.546455,288,149.705319
3132.215332,101,149.90812
7824.326218,288,151.65847
9686.632721,288,152.175477
10985.161156,288,152.640225
13176.423889,288,153.267771
10761.505196,288,154.008319
11820.74752,288,154.561616
10706.154747,288,155.073819
9228.621552,288,156.697413
8112.915154,288,157.182524
14048.978958,288,157.650335
11857.142563,288,158.213284
14593.474136,288,158.748119
10537.496902,288,159.313655
10602.022186,283,159.874766
11070.511078,288,160.37778
11241.699387,288,162.009419
7949.413345,288,162.540586
11244.015244,288,163.009531
11309.705612,288,163.543219
8389.654449,288,164.028509
9721.052879,288,164.49991
13975.987957,288,164.968787
10936.747536,288,166.67872
11949.40329,288,167.185336
6849.964417,288,167.683833
9470.215637,288,168.326332
11519.222382,288,168.886947
10795.394711,288,169.461564
7276.461327,281,169.952145
2584.765976,80,171.236583
14719.023613,288,171.718623
13310.128452,288,172.24504
12814.875748,288,172.86743
15704.191963,288,173.345456
10299.706291,288,173.900833
7897.836884,205,174.380463
7987.737663,288,174.899712
11299.74559,288,176.584225
10990.754242,288,177.065605
8477.727905,288,177.617637
9306.883526,288,178.441839
10023.103275,288,179.174719
12666.137131,288,179.793431
9057.011116,288,180.299913
10889.886353,288,182.153166
10983.452778,234,182.519582
8901.559631,288,183.057659
11565.789589,288,183.565358
13225.763596,288,184.058697
8364.770477,288,184.600819
10313.752487,288,185.207247
5826.620895,117,185.393386
13149.463955,288,187.024998
13778.771824,288,187.58564
12220.643093,288,188.132938
9898.091995,288,188.70778
12212.64904,288,189.21434
10277.444786,288,189.70475
9855.106133,288,190.271538
13271.757435,288,191.842931
14407.514153,288,192.330031
9705.521385,288,192.808574
11482.115379,288,193.303878
13357.759766,288,193.885509
13199.776932,288,194.401113
13140.016098,288,194.89592
7265.992897,288,196.512296
12814.001755,288,197.034205
8662.18409,288,197.506541
12551.041656,288,197.999066
11427.14904,288,198.478845
8992.940025,288,199.02468
11214.610115,288,199.506387
14958.817886,288,201.160971
10259.148727,288,201.719222
10921.855782,288,202.260793
13059.699219,288,202.763059
7373.665634,288,203.260369
15675.061638,288,203.755324
14907.026245,288,204.222948
2140.602226,60,204.31901
11604.272015,288,205.968455
15832.490807,288,206.46708
9949.869324,288,206.936092
13685.159119,288,207.504026
8771.356178,277,208.085848
11545.239159,288,208.643069
13138.348022,288,209.242559
9742.72242,288,210.904817
12314.73745,288,211.490317
11333.43729,288,212.006349
14339.648834,288,212.544635
12582.761002,288,213.034632
15200.78569,288,213.543046
12372.107681,288,214.069531
12451.433197,288,215.70997
12115.392616,288,216.305472
11129.387703,288,216.912048
11586.317284,288,217.431263
13500.73159,288,217.958356
13019.240303,287,218.533095
11637.582901,288,219.023561
9506.235176,288,220.696434
14792.445412,288,221.252456
12478.834873,288,221.778448
14773.721176,288,222.262264
13180.63298,288,222.725241
12109.676968,288,223.369344
8372.290924,288,223.850975
14865.839485,288,224.356721
12839.544235,288,226.020184
12871.806717,288,226.573562
11332.671989,288,227.104817
15550.138306,288,227.553253
12026.171921,288,228.087308
14139.422764,288,228.615409
10924.523079,288,229.123335
13006.239395,288,230.734713
10481.56897,288,231.224559
13969.634026,288,231.740581
9561.642029,288,232.26191
