#{"t_start": 1756654604.7168741, "env_id": "None"}
r,l,t
8042.602013,288,3.142708
15260.0,288,7.759658
15525.0,288,12.374461
14985.0,288,17.080554
14070.0,288,21.760864
1775.0,64,22.788153
17325.0,288,27.394723
14790.0,288,32.038612
14760.0,288,36.739151
16050.0,288,41.403589
13710.0,288,45.978311
16380.0,288,50.485415
15700.0,288,55.013142
15845.0,288,59.655607
13695.0,288,64.24466
11260.0,288,68.794347
16725.0,288,73.478797
5175.0,156,76.077604
11785.0,288,80.681116
12395.0,288,85.312133
15195.0,288,90.032394
14365.0,288,94.665788
15245.0,288,99.306401
12160.0,288,103.973647
14840.0,288,108.590614
16125.0,288,113.156492
13480.0,288,117.721555
14885.0,288,122.441246
14275.0,288,127.099892
11005.0,288,131.664786
14300.0,288,136.382213
12585.0,288,141.43223
15135.0,288,146.234714
10475.0,265,150.899112
15700.0,288,156.009928
10030.0,288,161.114682
13105.0,288,165.917777
16370.0,288,170.899279
14130.0,258,175.088987
14945.0,288,179.844806
16660.0,288,184.53503
13610.0,288,189.099354
8855.0,189,192.309349
16090.0,288,197.188696
13305.0,288,201.966424
14980.0,288,206.882209
12980.0,288,211.635609
11315.0,288,216.373415
16110.0,288,221.11375
11165.0,288,225.798339
14440.0,288,230.455854
15230.0,288,235.072444
14575.0,288,239.703844
16080.0,288,244.273208
14940.0,288,248.850373
11730.0,288,253.450181
16035.0,288,258.128533
12360.0,288,262.701753
16335.0,288,267.338421
15655.0,288,272.031648
17765.0,288,276.716065
15340.0,288,281.348478
14610.0,288,285.969697
15520.0,288,290.607221
15880.0,288,295.327221
16355.0,288,299.978399
15185.0,288,304.603269
15120.0,288,309.20678
7930.0,288,313.946066
12940.0,288,318.685641
15970.0,288,323.366598
13775.0,288,328.062394
16140.0,288,332.819314
15335.0,288,337.461035
12455.0,288,342.137441
14895.0,288,346.750979
9980.0,256,350.89708
6415.0,288,355.526968
15670.0,288,360.153613
15695.0,288,364.747562
14650.0,288,369.373209
15400.0,288,373.974881
830.0,41,374.5941
14760.0,288,379.233128
14965.0,288,383.89391
8830.0,288,388.545531
11580.0,288,393.193076
15060.0,288,397.872325
12750.0,288,402.581449
16640.0,288,407.10084
11025.0,288,411.750164
11635.0,288,416.425954
13945.0,288,421.137518
14570.0,288,425.760252
14555.0,288,430.342735
16890.0,288,435.04658
16010.0,288,439.776216
14465.0,288,444.478939
14225.0,288,449.201368
13860.0,288,454.749943
14575.0,288,459.972551
15865.0,288,465.144461
17010.0,288,469.944065
12050.0,288,474.98968
16115.0,288,480.358841
15395.0,288,486.429189
17350.0,288,492.550858
13735.0,288,498.559561
13625.0,288,504.128833
15175.0,288,509.068754
16515.0,288,514.059228
10020.0,288,518.989976
12440.0,288,524.109752
9885.0,288,528.935828
15010.0,288,533.853704
12230.0,288,538.765558
15245.0,288,543.962832
14020.0,288,549.010442
12650.0,288,554.325173
13470.0,288,559.806115
14465.0,288,565.315109
12400.0,288,570.376856
13595.0,288,575.684898
13045.0,288,580.926742
10800.0,288,586.339256
14585.0,288,591.440601
14400.0,288,596.562683
17165.0,288,601.760579
13800.0,288,606.859059
11550.0,288,612.027373
14525.0,288,617.164411
14640.0,288,622.17443
16945.0,288,627.110869
15130.0,288,632.03378
13790.0,288,637.072488
12365.0,288,642.124044
14230.0,288,647.054919
15460.0,288,652.027783
14855.0,288,656.932838
16795.0,288,662.113252
16215.0,288,667.233783
17290.0,288,672.317287
16190.0,288,677.974387
15980.0,288,683.372971
15665.0,288,688.695321
15265.0,288,694.012285
15935.0,288,699.218675
11600.0,288,704.313277
14875.0,288,709.6006
8920.0,288,714.503632
16665.0,288,719.618805
11735.0,288,724.567109
12660.0,288,729.905504
14040.0,288,735.018519
13015.0,288,739.991024
12625.0,288,745.008701
15670.0,288,750.218294
14225.0,288,755.095067
15515.0,288,760.220433
15140.0,288,765.19731
14895.0,288,770.152938
15745.0,288,775.073661
15325.0,288,780.056419
15535.0,288,785.178753
16150.0,288,790.429873
9875.0,199,794.179435
14375.0,288,799.595769
14670.0,288,805.009761
16180.0,288,810.427358
12805.0,288,815.820123
16750.0,288,821.294679
16805.0,288,826.495259
8030.0,288,831.747606
14910.0,288,836.823818
11480.0,288,841.980043
4580.0,232,846.016989
13845.0,288,851.267866
15565.0,288,856.410917
12860.0,288,861.557189
12375.0,288,866.53633
16305.0,288,871.82184
16065.0,288,876.848173
15250.0,288,882.058013
13515.0,288,887.314489
15665.0,288,892.466501
16140.0,288,897.558686
13040.0,288,902.753009
10300.0,288,907.977138
15195.0,288,913.376341
14620.0,288,918.721318
17335.0,288,924.197802
15400.0,288,929.664898
15370.0,288,935.28063
16220.0,288,940.721375
16020.0,288,946.121873
11105.0,288,951.408175
16695.0,288,956.739164
15180.0,288,962.190525
13695.0,288,967.414588
13120.0,288,972.719417
13845.0,288,978.007115
17690.0,288,983.220561
15460.0,288,988.216238
15710.0,288,993.275678
14260.0,288,998.406387
17085.0,288,1003.49423
14870.0,288,1008.580408
15520.0,288,1013.741203
14805.0,288,1018.969727
15535.0,288,1023.965562
15335.0,288,1028.973716
14785.0,288,1034.227638
10655.0,288,1039.754101
15065.0,288,1045.140941
15645.0,288,1050.505507
14850.0,288,1056.053416
11165.0,288,1061.445039
14450.0,288,1066.611266
15195.0,288,1071.848284
14530.0,288,1076.89607
13820.0,288,1082.29934
12730.0,288,1087.425148
13285.0,288,1092.771349
15010.0,288,1098.115196
15215.0,288,1103.372572
15405.0,288,1108.447623
14095.0,288,1113.608773
16000.0,288,1118.637292
13635.0,288,1123.948367
11350.0,288,1129.059689
14200.0,288,1134.163573
14545.0,288,1139.292658
13630.0,288,1144.47963
16350.0,288,1149.578306
10185.0,288,1154.978
14460.0,288,1160.409068
15245.0,288,1166.020729
14655.0,288,1171.406726
16410.0,288,1176.704686
16925.0,288,1182.13358
16790.0,288,1187.221543
14455.0,288,1192.317582
14820.0,288,1197.342566
13295.0,288,1202.421944
14240.0,288,1207.672651
13745.0,288,1212.85295
14310.0,288,1218.022809
13345.0,288,1223.256986
16765.0,288,1228.368772
16080.0,288,1233.696924
14950.0,288,1238.932293
14490.0,288,1244.160965
15845.0,288,1249.293874
5765.0,159,1252.150989
7295.0,156,1254.860796
14425.0,288,1260.058976
13045.0,288,1265.146693
1985.0,288,1270.159778
5300.0,231,1274.417402
14220.0,288,1280.040482
14500.0,288,1285.633856
12125.0,288,1291.071991
14605.0,288,1296.54961
14180.0,288,1302.032063
15300.0,288,1307.363011
14855.0,288,1312.523814
16520.0,288,1317.84459
10195.0,288,1323.123495
13295.0,288,1328.50914
13520.0,288,1333.717302
15085.0,288,1338.968125
15985.0,288,1344.194376
16435.0,288,1349.253363
10525.0,288,1354.45707
14990.0,288,1359.503608
16915.0,288,1364.578157
14680.0,288,1369.807014
14545.0,288,1375.107951
15220.0,288,1380.305583
15060.0,288,1385.3427
12815.0,288,1390.755229
13810.0,288,1396.290083
15280.0,288,1401.863983
14720.0,288,1407.579944
11405.0,288,1413.131236
13980.0,288,1418.720899
14905.0,288,1423.922012
14345.0,288,1428.990926
6635.0,288,1433.996476
13775.0,288,1439.162127
12990.0,288,1444.125084
12115.0,288,1449.102814
15030.0,288,1454.440603
15685.0,288,1459.687223
16470.0,288,1464.895316
15280.0,288,1470.001127
14905.0,288,1475.359789
12285.0,288,1480.715394
12105.0,288,1485.683401
15345.0,288,1490.977764
13870.0,288,1496.242007
15290.0,288,1501.36585
17440.0,288,1506.326176
15900.0,288,1511.486181
15465.0,288,1517.054968
7845.0,288,1522.672008
16375.0,288,1528.174011
16250.0,288,1533.663833
15085.0,288,1539.320442
13720.0,288,1544.428337
11715.0,288,1549.557461
14540.0,288,1554.640452
15210.0,288,1559.921443
16285.0,288,1565.01734
17015.0,288,1570.33395
13090.0,288,1575.711816
11700.0,288,1581.04649
16570.0,288,1586.304052
15175.0,288,1591.655548
11175.0,219,1595.707881
14360.0,288,1601.114171
16720.0,288,1606.223416
11575.0,288,1611.391512
14050.0,288,1616.57331
12650.0,288,1621.981807
16070.0,288,1627.215662
16425.0,288,1632.393068
12735.0,227,1636.870884
15615.0,288,1642.398994
15120.0,288,1647.969325
15375.0,288,1653.60675
8405.0,222,1658.097549
13580.0,288,1663.888199
14915.0,288,1669.482226
13805.0,288,1675.070349
17685.0,288,1680.526194
1740.0,61,1681.712579
9820.0,288,1687.251587
10275.0,288,1692.506139
16195.0,288,1697.683408
16945.0,288,1702.948617
16695.0,288,1708.139768
12860.0,288,1713.295907
16585.0,288,1718.628956
15890.0,288,1724.004651
13735.0,288,1729.38381
15460.0,288,1734.500179
9385.0,288,1739.679951
15835.0,288,1745.112697
13620.0,288,1750.459899
7940.0,288,1756.075422
14610.0,288,1761.690001
16040.0,288,1767.443506
