#{"t_start": 1756245038.882565, "env_id": "None"}
r,l,t
2569.160736,288,2.042258
3889.770935,288,4.867464
7021.914673,288,7.772673
919.867958,288,10.728527
8053.480988,288,13.834877
7910.716393,288,16.819112
8246.831184,288,19.896508
10122.004234,288,22.900879
12852.12101,288,26.010215
5603.927155,288,29.045379
8989.526711,288,32.177575
8416.545891,288,35.227196
11117.23069,288,38.38325
4828.354958,288,41.488417
11278.571198,288,44.525924
7770.938103,288,47.632696
15184.074135,288,50.71685
15565.191154,288,53.829853
6685.124702,288,56.878773
10894.403526,288,60.025715
10639.423592,288,63.126908
14924.97963,288,66.210532
15372.612724,288,69.311225
18304.951782,288,72.381631
5623.148315,288,75.529774
10920.0,288,78.617835
18843.883324,288,81.755852
11625.478935,288,84.869471
13625.0,288,88.01211
14025.0,288,91.136751
12411.962738,288,94.23644
16519.549713,288,97.397763
15076.861771,288,100.441607
17370.650024,288,103.53813
13661.560173,288,106.61874
10271.16745,288,109.728948
16325.56179,288,112.907073
11203.014915,288,115.954114
15132.647133,288,119.040066
17010.0,288,122.119534
14014.120216,288,125.281174
9608.615646,288,128.348406
9720.0,288,131.442035
11683.047752,288,134.484262
8698.471863,288,137.580823
17692.360001,288,140.696648
13271.87706,288,143.842624
12493.516884,288,146.959547
15304.414597,288,150.025759
18081.968002,288,153.190263
8110.0,288,156.284548
12880.0,288,159.445607
14872.378571,288,162.601022
9740.683708,288,165.675087
15705.0,288,168.746078
14665.0,288,171.852201
16387.892265,288,174.975419
16510.0,288,178.161833
15165.0,288,181.260041
15385.770378,288,184.456983
15000.0,288,187.58418
10030.0,288,190.690554
10770.0,288,193.846292
11980.90744,288,196.950206
9485.0,288,200.147577
8220.0,288,203.254177
13325.0,288,206.351719
10935.672035,288,209.493893
14360.0,288,212.554429
9385.0,288,215.66192
13620.0,288,218.620526
8760.0,288,221.633301
15220.0,288,224.707955
14695.0,288,227.706054
13740.0,288,230.838887
16785.0,288,233.880907
16150.0,288,236.985685
14980.0,288,240.144395
16180.0,288,243.22054
10710.0,288,246.369083
16395.0,288,249.530995
11880.0,288,252.751499
7250.0,288,255.920278
16110.0,288,259.049259
11810.0,288,262.221708
13910.0,288,265.327658
13370.0,288,268.442806
12090.0,288,271.609727
17548.774567,288,274.704136
6670.0,288,277.870089
7801.340027,288,280.927108
13020.0,288,284.08237
14440.0,288,287.226493
10086.857185,288,290.272666
15760.0,288,293.408208
16205.0,288,296.511182
14680.0,288,299.611727
14450.0,288,302.685249
17190.0,288,305.760734
16785.0,288,308.906271
14156.509895,288,311.989325
14740.0,288,315.12761
15820.0,288,318.232414
12690.0,288,321.354739
16610.0,288,324.52529
13520.0,288,327.604161
13280.0,288,330.689183
17545.0,288,333.828579
8255.0,288,336.933316
16330.0,288,340.055539
17395.0,288,343.08648
8370.0,288,346.140454
17520.0,288,349.270447
17460.0,288,352.336709
15720.0,288,355.48846
14720.0,288,358.580817
16215.0,288,361.711162
6350.0,288,364.898575
15720.0,288,367.997405
16560.0,288,371.190787
13490.0,288,374.294769
16655.0,288,377.446765
14570.0,288,380.597722
11860.0,288,383.735512
18460.0,288,386.922607
15415.0,288,390.024971
14385.0,288,393.226845
13700.0,288,396.386527
9405.0,288,399.595606
7330.0,288,402.805765
12905.0,288,405.908113
17595.0,288,409.08288
12520.0,288,412.201934
14140.0,288,415.382565
17700.0,288,418.582131
15125.0,288,421.695593
16340.0,288,424.87647
12020.0,288,428.023588
14290.572586,288,431.155144
9400.0,288,434.245968
12980.0,288,437.374902
15634.994698,288,440.521832
13170.0,288,443.644577
16470.0,288,446.804502
15835.0,288,449.912539
17055.0,288,453.038195
12920.0,288,456.114928
15920.0,288,459.197979
18610.0,288,462.264271
16715.0,288,465.274727
14270.0,288,468.375619
10470.0,288,471.461244
17115.0,288,474.578938
15835.0,288,477.671929
15480.0,288,480.755738
18020.0,288,483.958469
17635.0,288,487.082116
15780.0,288,490.30937
17205.0,288,493.431612
18050.0,288,496.614734
17530.0,288,499.792937
16130.0,288,502.952986
18770.0,288,506.141021
17250.0,288,509.269785
16675.0,288,512.417419
10110.0,288,515.561242
14054.46701,288,518.724985
14700.0,288,521.957231
17050.0,288,525.041242
17330.0,288,528.186814
16360.0,288,531.371085
13220.0,288,534.476326
16380.0,288,537.72069
16260.0,288,540.826842
14240.0,288,544.008245
13805.0,288,547.145356
15225.0,288,550.242424
16970.0,288,553.433956
16895.0,288,556.516815
18180.0,288,559.687058
14290.0,288,562.865028
14370.0,288,565.991798
14620.0,288,569.156697
18085.0,288,572.210328
18025.0,288,575.313716
18980.0,288,578.503046
17965.0,288,581.559005
17751.669769,288,584.690733
17595.0,288,587.79893
19220.0,288,590.977156
18730.0,288,594.196723
16970.0,288,597.280369
18260.0,288,600.465595
17360.0,288,603.591841
17920.0,288,606.751045
14760.0,288,609.892034
10730.0,288,613.041269
16545.0,288,616.210566
13460.0,288,619.281328
19104.473152,288,622.464399
15015.0,288,625.576829
15760.0,288,628.761145
18230.0,288,631.922367
17420.0,288,635.007604
17340.0,288,638.260722
18410.696716,288,641.396562
14710.0,288,644.592026
12925.0,288,647.735844
18920.0,288,650.975643
17545.0,288,654.178275
17980.0,288,657.31315
18550.0,288,660.525996
10840.0,288,663.690473
18085.0,288,666.921799
11370.0,288,670.160286
17240.0,288,673.305141
19075.0,288,676.549465
17360.0,288,679.726337
16860.0,288,682.954048
18535.0,288,686.136103
18620.0,288,689.347552
18450.0,288,692.515888
18530.0,288,695.635427
16145.0,288,698.866205
14950.0,288,702.023235
19209.555664,288,705.225899
18240.0,288,708.382336
19120.0,288,711.511049
15840.0,288,714.658523
14310.0,288,717.763027
19050.0,288,721.009977
18366.10199,288,724.15289
17156.704483,288,727.407655
13410.0,288,730.613779
16962.862701,288,733.880337
19802.194901,288,737.200576
17460.0,288,740.383667
17670.0,288,743.691158
19280.0,288,746.85805
17650.0,288,750.132919
16710.0,288,753.352586
15438.338356,288,756.60439
17229.593201,288,759.85419
20060.0,288,762.998211
16805.0,288,766.269829
15420.0,288,769.47168
15750.0,288,772.67845
17560.0,288,775.88529
18700.0,288,779.07708
15870.0,288,782.365844
16470.0,288,785.544272
19080.0,288,788.839953
18300.0,288,792.085221
16295.0,288,795.309579
12964.480743,288,798.602317
16445.0,288,801.831278
17415.0,288,805.12078
16770.0,288,808.353573
17190.0,288,811.592154
18635.0,288,814.837502
16120.0,288,818.077794
18485.0,288,821.380848
17190.0,288,824.598749
14550.0,288,827.827129
18539.379272,288,831.098629
18450.0,288,834.302217
18250.0,288,837.58842
18421.738007,288,840.809541
18820.0,288,844.133582
18090.0,288,847.438589
17885.145035,288,850.723996
18475.0,288,854.111913
17270.0,288,857.33742
17880.0,288,860.693039
15780.0,288,864.009194
17000.0,288,867.222825
14345.0,288,870.5604
17370.0,288,873.796251
16730.0,288,877.130241
14685.0,288,880.43799
17045.0,288,883.675254
14720.0,288,886.996429
16330.0,288,890.254729
16040.0,288,893.539536
17685.0,288,896.812234
14720.0,288,900.023494
13440.0,288,903.389382
13195.0,288,906.668888
17506.259575,288,909.970991
12800.0,288,913.265066
16555.0,288,916.471019
17116.325035,288,919.807101
19360.0,288,923.110769
17540.0,288,926.384749
19860.0,288,929.729828
13895.0,288,932.917472
17455.0,288,936.206947
19960.0,288,939.509084
18515.0,288,942.724941
14470.0,288,946.054623
18680.0,288,949.255666
16735.0,288,952.538504
18100.0,288,955.762273
18520.0,288,958.947453
18520.0,288,962.233431
14293.736916,288,965.435206
18730.0,288,968.793398
19110.0,288,972.052727
16910.0,288,975.390617
16825.0,288,978.691533
16200.0,288,981.987216
16095.0,288,985.365866
15265.0,288,988.659031
18365.0,288,991.962038
20275.0,288,995.33024
16705.0,288,998.630763
16985.0,288,1001.94017
12698.559143,288,1005.26492
16055.0,288,1008.532223
18280.0,288,1011.85788
19400.0,288,1015.106187
18590.0,288,1018.346074
16058.409081,288,1021.656042
17621.072998,288,1024.874787
16155.0,288,1028.20473
16960.0,288,1031.48108
17440.0,288,1034.750699
18441.634369,288,1037.993894
16070.0,288,1041.226396
20605.0,288,1044.531163
17010.0,288,1047.749608
13259.680138,288,1051.047449
16335.0,288,1054.364416
19510.0,288,1057.598829
18751.81797,288,1060.873736
18460.0,288,1064.080096
14955.0,288,1067.373999
17185.0,288,1070.654347
13535.0,288,1073.933767
17590.0,288,1077.238896
16480.0,288,1080.506588
20190.0,288,1083.821392
17800.0,288,1087.212189
16920.0,288,1090.472072
17970.0,288,1093.790892
18220.0,288,1097.144062
19145.0,288,1100.378332
