#{"t_start": 1756654364.1828516, "env_id": "None"}
r,l,t
7227.744926,288,0.560466
6354.759129,288,1.06499
5882.237289,288,1.612734
6593.800354,288,2.147222
8825.102463,288,2.646284
6449.955063,288,3.138309
4894.125305,288,3.679922
6931.74226,288,5.529982
6771.125633,288,6.025361
7288.081696,288,6.51335
8044.806351,288,7.027735
6211.920143,288,7.53369
6859.414658,288,8.013777
6272.69828,288,8.503231
7845.390289,288,10.544291
5784.944397,288,11.032962
9615.947876,288,11.500342
8674.454292,288,11.977742
6216.019684,288,12.471344
6492.385292,288,12.939369
5318.102592,288,13.406976
5712.380692,288,15.488382
6579.998779,288,15.998945
6103.349136,288,16.476673
7010.368172,288,16.942739
5603.726257,288,17.432563
4260.984871,288,17.91891
9812.039635,288,18.385322
8349.633789,288,20.462433
7964.716057,288,20.928392
5596.541054,288,21.451377
6218.872932,288,21.922559
7538.60379,288,22.387228
8137.495422,288,22.869924
5571.493256,288,23.350302
8816.47435,288,25.502569
7916.869003,288,25.964088
5967.891701,288,26.44692
8814.587395,288,26.950964
7309.98597,288,27.423821
7181.321602,288,27.885443
5996.727676,288,28.375832
6486.011475,288,30.497025
9259.609756,288,30.968265
5796.838791,288,31.436724
7972.598877,288,31.918602
7859.57058,288,32.42596
7786.603081,288,32.886727
8148.033661,288,33.349541
6507.782982,288,35.443876
9311.777328,288,35.928559
8923.804771,288,36.404715
7913.952694,288,36.873147
8756.570824,288,37.375883
7873.483139,288,37.846563
7643.143463,288,38.310007
10613.151199,288,40.390394
7307.815598,288,40.889136
8630.299973,288,41.372465
9014.665131,288,41.839693
9047.067459,288,42.31092
8404.763306,288,42.823314
9402.548706,288,43.28811
8940.544228,288,43.750282
9758.302544,288,45.849194
8871.366226,288,46.344836
9576.526901,288,46.824572
9359.618843,288,47.288521
10731.354843,288,47.765148
6516.46727,288,48.267513
9555.281891,288,48.733753
10804.613754,288,50.8555
9620.931679,288,51.320204
9734.361206,288,51.822598
8846.537758,288,52.302721
8707.973793,288,52.766414
8679.209015,288,53.263451
13103.001617,288,53.757112
7231.45858,288,55.806366
7428.550735,288,56.270581
8947.287773,288,56.745003
9274.127251,288,57.251567
6695.326416,288,57.736927
1957.123932,108,57.913274
11007.348106,288,58.387535
7610.173141,288,60.539757
10498.897293,288,61.049456
10385.035568,288,61.509215
9541.421364,288,61.995034
9185.734333,288,62.510904
9596.804085,288,62.971863
10450.984398,288,63.434561
9967.204391,288,63.947326
11891.981636,288,66.057469
11235.490265,288,66.594441
7798.424889,288,67.108396
9809.12426,288,67.636739
9152.361519,288,68.128843
9483.762024,288,68.631783
9372.964474,288,69.199847
9337.590309,288,71.364632
9886.258652,288,71.982253
8047.255676,288,72.468942
10728.848122,288,72.965602
12261.681908,288,73.436944
9889.393417,288,73.889535
10544.704208,288,74.366166
11754.098118,288,76.483085
9892.016228,288,76.958824
9483.179909,288,77.426502
10768.361687,288,77.924921
10021.199638,288,78.466324
10084.045288,288,78.942277
10141.322723,288,79.43669
11463.078545,288,81.436682
10096.266441,288,81.950973
11281.711739,288,82.414573
11319.620628,288,82.867397
10423.203705,288,83.365751
10919.061584,288,83.844746
9498.920513,288,84.297488
11696.020294,288,86.355768
10006.585968,288,86.808679
10859.63974,288,87.302586
11259.450356,288,87.764779
9509.931793,288,88.221397
11744.50029,288,88.686934
11251.482857,288,89.155563
10815.806503,288,91.175478
9981.203217,288,91.666878
10680.478844,288,92.120276
11863.561417,288,92.605695
10159.081802,288,93.06439
11247.773903,288,93.515502
10881.671677,288,94.012638
14739.769829,288,96.066236
10579.276558,288,96.558366
10972.553059,288,97.011062
10335.762222,288,97.467783
12349.969215,288,97.967239
11964.52758,288,98.418933
12339.465385,288,98.866629
11557.875118,288,100.872433
10583.466789,288,101.356397
10562.509735,288,101.854589
12558.082397,288,102.30414
11297.463203,288,102.778805
11736.249474,288,103.245445
11451.179474,288,103.699286
11775.228668,288,105.743321
13676.647503,288,106.19437
10416.283203,288,106.699945
10836.557999,288,107.17731
11804.490959,288,107.631349
12238.01754,288,108.089452
13337.660736,288,108.56844
13209.038399,288,109.016432
13784.497635,288,110.976677
12367.48452,288,111.423578
9307.273926,288,111.927489
11205.669975,288,112.410954
9499.277809,288,112.862015
13425.879784,288,113.312449
12785.143677,288,113.782637
11451.977516,288,115.727248
13364.875671,288,116.180336
14334.107903,288,116.629648
11467.413071,288,117.13469
12937.171288,288,117.593208
12386.364555,288,118.046769
15211.079796,288,118.506179
11328.127563,288,120.527574
14406.681419,288,120.99203
10919.3615,288,121.444243
12970.781868,288,121.929111
13702.551018,288,122.40748
12796.513824,288,122.872139
13442.499733,288,123.319282
11848.153507,288,125.300411
12829.835426,288,125.760255
12262.579086,288,126.242014
14295.633125,288,126.693145
15942.427299,288,127.177574
12239.699432,288,127.645211
13208.044533,288,128.117383
12856.357544,288,130.159879
13268.071632,288,130.607809
12551.466675,288,131.064215
11570.018341,288,131.555577
15362.645927,288,132.02883
12071.372299,288,132.490726
15236.571014,288,132.962938
16186.707191,288,134.976901
12085.372681,288,135.438715
13225.087585,288,135.889096
13786.769775,288,136.367238
14077.543465,288,136.851315
12971.913872,288,137.330567
13721.863075,288,137.786211
15289.520233,288,139.842649
12735.293945,288,140.305991
14187.048874,288,140.760127
15085.119324,288,141.216373
12706.635113,288,141.691835
15223.922058,288,142.154859
13659.697563,288,142.630034
11600.422371,288,144.530338
12832.738007,288,144.998668
11949.855423,288,145.468663
13561.711761,288,145.921108
15677.435394,288,146.37886
13580.426521,288,146.851018
14630.43132,288,147.339159
13945.907555,288,149.343117
13285.612572,288,149.795105
14135.331154,288,150.253745
13081.023026,288,150.732157
13809.726791,288,151.185797
13683.778343,288,151.640513
15253.73925,288,152.115025
13361.968491,288,152.610864
15572.569283,288,154.580889
13588.109734,288,155.035262
11884.370361,288,155.50473
15310.752251,288,155.978677
13100.023621,288,156.435868
15184.870529,288,156.889421
14259.557419,288,157.379419
13698.078773,288,159.436588
13919.92556,288,159.889136
14289.148941,288,160.343089
14106.008022,288,160.811435
11959.629494,288,161.273784
14771.243057,288,161.729184
14095.301277,288,162.194745
15060.739586,288,164.216067
15624.738419,288,164.698343
14935.471992,288,165.150686
13348.980354,288,165.607051
15006.601013,288,166.080858
14639.199707,288,166.54439
13518.328018,288,166.997777
13622.368202,288,168.993376
14787.399742,288,169.452213
13391.753601,288,169.936882
14302.598686,288,170.394664
10938.465508,219,170.738763
16006.868065,288,171.198438
15450.842247,288,171.669669
14896.227188,288,173.697137
15008.176521,288,174.148775
15331.665428,288,174.607986
15537.548988,288,175.100371
14778.73307,288,175.566592
14043.361221,288,176.01731
14076.195732,288,176.485382
16868.339424,288,178.538301
14443.921005,288,179.027205
13852.80368,288,179.494596
12765.327599,288,179.979788
14371.461998,288,180.472715
15124.523708,288,180.942413
14615.649948,288,181.412848
14776.720055,288,183.44389
13964.604927,288,183.950267
15946.754166,288,184.417182
14549.410095,288,184.886646
14107.995186,288,185.383977
14307.032082,288,185.863977
13301.182076,288,186.334418
16725.888603,288,186.821276
14701.899345,288,188.745641
15245.883152,288,189.242001
14840.354439,288,189.708075
14277.894981,288,190.176214
13825.084084,288,190.677302
8215.353165,164,190.958091
12815.440033,288,191.429142
15262.098022,288,193.487652
13496.163628,288,193.962913
17478.631409,288,194.449352
16081.497856,288,194.925137
12631.394409,288,195.395697
15503.328522,288,195.881839
15143.172985,288,196.366059
14141.076576,288,198.474832
14376.903305,288,198.945072
15425.472679,288,199.420948
15171.398758,288,199.924637
14804.432625,288,200.397284
14895.764679,288,200.865765
13270.946213,288,201.351815
14069.225952,288,203.334434
14200.043865,288,203.85832
17471.996727,288,204.331656
13086.658745,288,204.810096
14149.681931,288,205.298401
14356.314323,288,205.766599
15572.317581,288,206.235556
1424.515152,50,206.32109
16434.218521,288,208.342243
11964.543365,288,208.856981
13444.476166,288,209.328401
15748.294029,288,209.803329
15812.554428,288,210.293355
14783.155678,288,210.76491
15170.120338,288,211.235342
14819.855354,288,213.25715
13199.078865,288,213.795679
14673.805679,288,214.280201
16114.492111,288,214.750585
13334.834427,288,215.231466
14761.175056,288,215.718423
14908.489449,288,216.188266
16281.873352,288,216.677238
14640.143661,288,218.222567
16006.335674,288,218.746766
14455.810997,288,219.244586
14319.647682,288,219.778874
17096.123398,288,220.294361
13970.188786,288,220.830379
14305.148384,288,221.343266
16730.000458,288,222.973369
15538.207611,288,223.452115
16930.360512,288,223.951391
16917.545341,288,224.459922
15255.330269,288,224.94787
13561.40958,288,225.422731
14252.206322,288,225.921784
16924.994614,288,227.446732
14645.965645,288,227.961626
15435.735451,288,228.450094
15438.679386,288,228.95485
15997.69986,288,229.443186
14920.943993,288,229.952461
14887.440331,288,230.428572
16175.391693,288,231.978694
16030.450851,288,232.451176
16399.105164,288,232.922395
15186.762173,288,233.413516
13306.093056,288,233.912164
14361.561584,288,234.388986
15335.347618,288,234.874943
14182.839165,288,236.349603
15365.422325,288,236.845019
14782.949867,288,237.318394
17943.321304,288,237.790297
14129.808487,288,238.272762
16454.894501,288,238.752828
15196.419769,288,239.252607
