#{"t_start": 1756230403.998836, "env_id": "None"}
r,l,t
4299.000717,288,0.629989
6240.668839,288,1.311622
7196.916122,288,1.813849
7351.16114,288,2.402853
7102.040421,288,2.995519
5285.997543,288,3.910288
1726.915848,164,4.286352
5651.031906,288,5.766573
4720.117706,288,6.403644
6008.223068,288,6.98947
2591.224022,225,7.368206
7011.120758,288,8.033373
5159.828743,288,8.577461
921.060593,288,9.097535
7079.824341,288,10.652045
6369.349182,288,11.187724
4227.078377,288,11.780017
6935.150917,288,12.322719
7311.464417,288,12.808342
5509.608368,288,13.343118
2166.74984,288,13.853301
3887.032791,288,15.265532
6262.874344,288,15.80628
2882.547844,288,16.317531
8099.170242,288,16.813335
5165.827606,288,17.34913
6603.143311,288,17.849731
6193.571205,288,18.329927
2046.666485,288,18.886986
2618.389214,288,20.305587
3953.271675,288,20.832489
1661.595932,288,21.352347
3481.60273,288,21.832186
7130.245201,288,22.365509
5759.553375,288,22.863185
9476.745758,288,23.348263
8819.68029,288,24.778014
8816.519852,288,25.260796
1919.24955,288,25.783841
5876.144905,288,26.339402
7872.810135,288,26.824153
6875.175491,288,27.310452
4192.823486,288,27.89987
6420.962402,288,29.379069
8145.706421,288,29.980213
8638.496857,288,30.475189
2996.754181,288,30.974492
4403.593727,288,31.53782
4835.121078,288,32.061044
6261.786827,288,32.556038
7426.5177,288,33.970307
2486.647209,288,34.447676
7984.079407,288,34.95695
5857.196175,288,35.498511
1953.884415,288,35.977754
2660.819061,288,36.462384
6437.347321,288,36.990726
4021.590836,261,38.381189
3025.456047,288,38.936615
4803.587868,288,39.416144
9884.928101,288,39.897969
2736.603027,288,40.417234
9693.335075,288,40.923921
9105.727722,288,41.411231
6569.89753,288,42.836748
9351.676025,288,43.326988
6232.55275,288,43.82609
6730.932983,288,44.39386
2836.928177,93,44.549072
5540.777374,288,45.040595
7205.110924,288,45.555763
2043.404701,288,46.106951
7545.584267,288,47.567468
4780.968117,288,48.091261
6653.678108,288,48.583919
4495.260841,288,49.147154
7546.32357,288,49.755096
6265.59935,288,50.402938
4928.85775,288,50.926214
7956.573494,288,52.373982
9929.590363,288,52.892851
8253.331902,288,53.443537
5252.380333,288,53.932947
3390.045914,288,54.424152
7363.745644,288,54.98135
10048.838539,288,55.563528
3204.677818,288,57.033442
7187.146034,288,57.604994
7845.251411,288,58.134123
7751.425049,288,58.775149
6034.248344,288,59.325752
7257.603218,288,59.941522
2541.196846,288,60.511355
6892.498558,288,61.986197
2919.012535,130,62.238833
8516.410446,288,62.770421
5409.877487,288,63.295187
3349.937431,288,63.848022
9189.385193,288,64.373473
5678.31797,288,64.890781
9945.294884,288,65.420541
8226.799469,288,66.913505
8679.736786,288,67.449194
3710.200188,288,67.954617
7339.495872,288,68.481224
4752.295525,288,69.082844
9376.422234,288,69.667849
7786.157303,288,70.172351
6714.849075,288,71.712781
6684.878265,288,72.200814
9684.55801,288,72.726024
9905.960114,288,73.298093
9548.985512,288,73.837796
2169.133224,97,73.996327
10532.667084,288,74.578527
7709.226585,288,75.125338
4836.594559,288,76.63469
8138.015701,288,77.204028
6870.393219,288,77.801275
6702.85907,288,78.369957
8861.528236,288,78.900816
7019.487556,288,79.432907
9983.770256,288,80.097154
6415.832611,288,81.640671
7308.785919,288,82.296254
3910.80468,288,82.802871
6044.331291,288,83.293151
7451.097046,288,83.898531
9789.151402,288,84.442555
10184.547939,288,84.971551
8677.111359,288,86.450666
8597.951874,288,86.992647
9893.751068,288,87.560663
1594.744019,148,87.875255
6480.164322,288,88.494196
7585.856789,288,89.040223
7870.862778,288,89.632569
10717.144386,288,90.213139
5170.106499,288,91.728796
6362.679901,288,92.24161
6496.590652,288,92.771764
10836.853073,288,93.36298
